d,run,loss,y0,runtime
1, 0, 0.000000, 0.300245, 31
1, 1, 0.000000, 0.300247, 31
1, 2, 0.000000, 0.300244, 32
1, 3, 0.000000, 0.300243, 32
1, 4, 0.000000, 0.300247, 33
1, 5, 0.000000, 0.300248, 33
1, 6, 0.000000, 0.300250, 32
1, 7, 0.000000, 0.300250, 34
1, 8, 0.000000, 0.300247, 33
1, 9, 0.000000, 0.300246, 32
