d,T,N,run,y0,runtime
1, 1.000000, 100, 0, 0.301847, 0.989033
1, 1.000000, 100, 1, 0.301807, 0.947020
1, 1.000000, 100, 2, 0.302113, 0.935046
1, 1.000000, 100, 3, 0.302238, 0.940120
1, 1.000000, 100, 4, 0.301850, 0.941618
1, 1.000000, 100, 5, 0.302068, 0.944417
1, 1.000000, 100, 6, 0.302089, 0.951667
1, 1.000000, 100, 7, 0.301628, 0.942798
1, 1.000000, 100, 8, 0.302023, 0.939005
1, 1.000000, 100, 9, 0.302120, 0.938633
